Año,Deuda en Millones de Pesos MXN,Deuda (%PIB)
2017.0,6665775.16,42.64
2016.0,6577485.2,41.76
2015.0,6839032.2,43.01
2014.0,5956054.72,42.97
2013.0,5777320.12,42.92
2012.0,5889389.44,43.67
2011.0,5595366.48,42.87
2010.0,4854130.6,42.55
2009.0,4447622.96,44.07
2008.0,4484278.48,45.87
2007.0,4135635.68,45.47
2006.0,4422623.48,49.62
2005.0,4781234.92,56.1
2004.0,4861633.04,59.16
2003.0,4719034.76,58.21
2002.0,4896679.04,59.12
