Año,Reclusos,"Por cada 100,000 Habitantes"
2017.0,6564.0,77.44
2016.0,6541.0,77.96
2015.0,6498.0,78.1
2014.0,6519.0,79.21
2013.0,6652.0,81.79
2012.0,6102.0,75.97
2011.0,5626.0,70.94
2010.0,5765.0,73.61
2009.0,5605.0,72.44
2008.0,5303.0,69.36
2007.0,5278.0,69.81
2006.0,5567.0,74.41
