Año,Ranking,Índice de Brecha de Género
2018.0,20.0,0.755
2017.0,81.0,0.755
2016.0,11.0,0.7759
2015.0,8.0,0.785
2014.0,11.0,0.7798
2013.0,9.0,0.7736
2012.0,10.0,0.7672
2011.0,10.0,0.7627
2010.0,10.0,0.7562
2009.0,13.0,0.7426
2008.0,14.0,0.736
2007.0,40.0,0.6924
2006.0,26.0,0.6997
