Año,IDH,Ranking
2017.0,0.944,2.0
2016.0,0.943,2.0
2015.0,0.942,7.0
2014.0,0.939,9.0
2013.0,0.938,9.0
2012.0,0.935,12.0
2011.0,0.932,14.0
2010.0,0.932,8.0
2009.0,0.927,12.0
2008.0,0.917,19.0
2007.0,0.915,18.0
2006.0,0.912,17.0
