Año,Deuda en Millones de Pesos MXN, Deuda (%PIB)
2018.0,3812771.16,39.97
2017.0,11163942.24,36.86
2016.0,3151206.52,36.42
2015.0,2681719.92,31.6
2014.0,2471677.56,27.3
2013.0,2835740.6,29.7
2012.0,3051468.2,29.1
2011.0,2568560.28,27.5
2010.0,3590553.56,41.7
2009.0,3205125.44,42.8
2008.0,3287989.76,48.2
2007.0,3818300.64,51.5
2006.0,3771520.72,55.4
2005.0,2704668.56,44.5
2004.0,2399482.8,45.6
2003.0,2240633.56,44.3
2002.0,1798197.28,36.1
