Año,IDH,Ranking
2017.0,0.953,1.0
2016.0,0.951,1.0
2015.0,0.948,3.0
2014.0,0.946,4.0
2013.0,0.946,3.0
2012.0,0.942,5.0
2011.0,0.943,3.0
2010.0,0.942,3.0
2009.0,0.938,3.0
2008.0,0.938,3.0
2007.0,0.938,2.0
2006.0,0.936,2.0
