Año,Índice,Ranking
2019,1536,20
2018,1519,16
2017,1486,14
2016,1500,17
2015,1393,17
2014,1371,10
2013,1359,11
2013,1385,14
2011,1275,4
2010,1310,8
2009,1324,8
2008,1288,9
