Año,Suicidios,"Por cada 100,000 Habitantes"
2016.0,627.0,11.81
2015.0,598.0,11.37
2014.0,563.0,10.65
2013.0,566.0,10.93
2012.0,515.0,10.34
2011.0,598.0,12.13
2010.0,548.0,11.2
2009.0,573.0,11.9
2008.0,505.0,10.6
2007.0,485.0,10.3
2006.0,532.0,11.4
2005.0,533.0,11.5
2004.0,529.0,11.5
2003.0,502.0,11.0
2002.0,494.0,10.9
2001.0,549.0,12.2
2000.0,541.0,12.0
1999.0,583.0,13.1
1998.0,548.0,12.4
1997.0,533.0,12.1
1996.0,517.0,11.8
1995.0,548.0,12.6
1994.0,531.0,12.2
