Año,Índice,Ranking
2019,1488,14
2018,1506,15
2017,1515,17
2016,1429,11
2015,1277,6
2014,1297,6
2013,1297,7
2013,1298,5
2011,1303,6
2010,1297,7
2009,1297,7
2008,1273,7
