Año,Reclusos,"Por cada 100,000 Habitantes"
2017.0,3373.0,63.58
2016.0,3850.0,73.34
2015.0,4056.0,78.0
2014.0,4103.0,79.82
2013.0,3869.0,76.2
2012.0,4052.0,80.85
2011.0,3866.0,78.14
2010.0,3564.0,72.94
2009.0,3340.0,69.19
2008.0,3477.0,72.87
2007.0,3446.0,73.01
2006.0,3387.0,72.48
