Año,Matrimonios,Tasa Bruta de Nupcialidad %
2011.0,22876.0,4.6
2010.0,23313.0,4.8
2009.0,24299.0,5.0
2008.0,25125.0,5.3
2007.0,23471.0,5.0
2006.0,21721.0,4.7
2005.0,22392.0,4.8
2004.0,18655.0,4.1
2003.0,22361.0,4.9
2002.0,20364.0,4.5
2001.0,19722.0,4.4
2000.0,22598.0,5.0
