Año,Suicidios,"Por cada 100,000 Habitantes"
2016.0,792.0,14.23
2015.0,732.0,13.34
2014.0,797.0,14.45
2013.0,898.0,16.33
2012.0,875.0,16.12
2011.0,910.0,16.87
2010.0,954.0,17.8
2009.0,1034.0,19.4
2008.0,1033.0,19.4
2007.0,995.0,18.8
2006.0,1062.0,20.2
2005.0,994.0,18.9
2004.0,1064.0,20.4
2003.0,1075.0,20.6
2002.0,1095.0,21.1
2001.0,1204.0,23.2
2000.0,1165.0,22.5
1999.0,1207.0,23.4
1998.0,1228.0,23.8
1997.0,1322.0,25.7
1996.0,1247.0,24.3
1995.0,1388.0,27.2
1994.0,1387.0,27.3
