Año,Matrimonios,Tasa Bruta de Nupcialidad %
2011.0,28408.0,5.3
2010.0,29952.0,5.6
2009.0,29836.0,5.6
2008.0,31014.0,5.8
2007.0,29497.0,5.6
2006.0,28236.0,5.4
2005.0,29283.0,5.6
2004.0,29342.0,5.6
2003.0,25815.0,5.0
2002.0,26969.0,5.2
2001.0,24830.0,4.8
2000.0,26150.0,5.1
