Año,Ranking,Índice de Brecha de Género
2018.0,2.0,0.835
2017.0,2.0,0.83
2016.0,3.0,0.842
2015.0,2.0,0.85
2014.0,3.0,0.8374
2013.0,3.0,0.8417
2012.0,3.0,0.8403
2011.0,2.0,0.8404
2010.0,2.0,0.8404
2009.0,3.0,0.8227
2008.0,1.0,0.8239
2007.0,2.0,0.8059
2006.0,2.0,0.7994
