Año,Reclusos,"Por cada 100,000 Habitantes"
2017.0,181999.0,140.91
2016.0,190175.0,149.17
2015.0,221439.0,175.9
2014.0,228021.0,183.56
2013.0,218373.0,178.21
2012.0,207278.0,171.55
2011.0,213758.0,179.49
2010.0,188013.0,160.26
2009.0,186614.0,161.56
2007.0,214682.0,191.96
2006.0,211308.0,191.94
