Año,Índice,Ranking
2019,2600,140
2018,2583,140
2017,2646,142
2016,2557,140
2015,2530,144
2014,2500,138
2013,2434,133
2012,2444,134
2011,2282,118
2010,2161,100
2009,2158,98
2008,2065,88
