Año,IDH,Ranking
2017.0,0.774,74.0
2016.0,0.722,74.0
2015.0,0.767,145.0
2014.0,0.761,146.0
2013.0,0.756,146.0
2012.0,0.757,143.0
2011.0,0.751,143.0
2010.0,0.743,145.0
2009.0,0.743,141.0
2008.0,0.742,140.0
2007.0,0.739,141.0
2006.0,0.736,137.0
