Año,Deuda en Millones de Pesos MXN, Deuda (%PIB)
2018.0,14398350.56,53.62
2017.0,14376284.56,54.05
2016.0,14351570.64,56.76
2015.0,14468857.92,52.83
2014.0,12553399.32,48.88
2013.0,11433614.72,45.9
2012.0,10348824.2,42.65
2011.0,9437550.32,42.86
2010.0,8685021.84,41.96
2009.0,7324406.32,43.68
2008.0,8325839.28,42.49
2007.0,7417992.12,37.21
2006.0,7546442.2,37.42
2005.0,7049827.4,38.52
2004.0,6656689.16,40.76
2003.0,7404285.24,44.23
2002.0,8878969.0,41.86
