Año,Matrimonios,Tasa Bruta de Nupcialidad %
2011.0,570954.0,4.9
2010.0,568632.0,5.0
2009.0,558913.0,5.0
2008.0,589352.0,5.3
2007.0,595209.0,5.4
2006.0,586978.0,5.4
2005.0,595713.0,5.6
2004.0,600563.0,5.7
2003.0,584142.0,5.6
2002.0,616654.0,6.0
2001.0,665434.0,6.5
2000.0,707422.0,7.0
